"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/02/2024","AQS","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/03/2024","AQS","481671034","2","7.5","ug/m3 LC","42","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/04/2024","AQS","481671034","2","8.3","ug/m3 LC","46","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/05/2024","AQS","481671034","2","3.9","ug/m3 LC","22","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/06/2024","AQS","481671034","2","9.3","ug/m3 LC","51","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/07/2024","AQS","481671034","2","9.5","ug/m3 LC","52","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/08/2024","AQS","481671034","2","10.8","ug/m3 LC","54","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/09/2024","AQS","481671034","2","2.7","ug/m3 LC","15","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/10/2024","AQS","481671034","2","6.2","ug/m3 LC","34","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/11/2024","AQS","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/12/2024","AQS","481671034","2","5.9","ug/m3 LC","33","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/13/2024","AQS","481671034","2","3.9","ug/m3 LC","22","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/14/2024","AQS","481671034","2","6.5","ug/m3 LC","36","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/15/2024","AQS","481671034","2","6.8","ug/m3 LC","38","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/16/2024","AQS","481671034","2","4.9","ug/m3 LC","27","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/17/2024","AQS","481671034","2","6.5","ug/m3 LC","36","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
